Word            	Accuracy
withdrew        	100.0
withdrawn       	100.0
withdrawal      	100.0
withdraw        	100.0
wistfully       	100.0
wistful         	100.0
wishing         	100.0
wishers         	100.0
wisest          	100.0
wiser           	100.0
wisely          	100.0
wisdom          	100.0
wisconsin       	100.0
wires           	100.0
wire            	100.0
wiping          	100.0
wiped           	100.0
wipe            	100.0
winters         	100.0
winter          	100.0
winning         	100.0
winking         	100.0
winked          	100.0
wink            	100.0
wings           	100.0
wing            	100.0
wines           	100.0
windy           	100.0
winds           	100.0
windows         	100.0
window          	100.0
winding         	100.0
wince           	100.0
win             	100.0
wily            	100.0
wilt            	100.0
wilsons         	100.0
wilson          	100.0
wills           	100.0
willow          	100.0
willing         	100.0
williams        	100.0
willed          	100.0
wilkins         	100.0
wilful          	100.0
wilds           	100.0
wildly          	100.0
wildest         	100.0
wilderness      	100.0
wigwam          	100.0
wifes           	100.0
wielded         	100.0
wield           	100.0
widows          	100.0
widow           	100.0
widest          	100.0
wider           	100.0
widening        	100.0
widen           	100.0
widely          	100.0
wickedness      	100.0
wickedest       	100.0
wicked          	100.0
whoso           	100.0
whose           	100.0
whomsoever      	100.0
whom            	100.0
wholesale       	100.0
whoever         	100.0
whitney         	100.0
whiting         	100.0
whither         	100.0
whitehall       	100.0
whistling       	100.0
whistle         	100.0
whispering      	100.0
whisper         	100.0
whisky          	100.0
whiskers        	100.0
whisk           	100.0
whirlwind       	100.0
whirling        	100.0
whippings       	100.0
whipped         	100.0
whiplash        	100.0
whip            	100.0
whimsical       	100.0
whimpering      	100.0
whim            	100.0
whilst          	100.0
whichever       	100.0
which           	100.0
wherever        	100.0
whereupon       	100.0
whereon         	100.0
wherein         	100.0
wherefore       	100.0
whereby         	100.0
whereas         	100.0
whereabouts     	100.0
whenever        	100.0
whelps          	100.0
wheels          	100.0
wheeling        	100.0
wheeled         	100.0
wheat           	100.0
whatsoever      	100.0
wharves         	100.0
westward        	100.0
western         	100.0
wesley          	100.0
wert            	100.0
wending         	100.0
wench           	100.0
wells           	100.0
wellington      	100.0
welfare         	100.0
welcomed        	100.0
welcome         	100.0
weighty         	100.0
weighing        	100.0
weeps           	100.0
weeping         	100.0
ween            	100.0
weeks           	100.0
weekly          	100.0
week            	100.0
weed            	100.0
wednesday       	100.0
wedded          	100.0
webs            	100.0
weave           	100.0
weasel          	100.0
weary           	100.0
wearing         	100.0
weariness       	100.0
wearily         	100.0
wearers         	100.0
weapons         	100.0
wealthy         	100.0
wealthier       	100.0
wealth          	100.0
weakness        	100.0
weakly          	100.0
weak            	100.0
wazir           	100.0
waylaid         	100.0
wax             	100.0
waving          	100.0
waves           	100.0
waverleys       	100.0
waverley        	100.0
wavering        	100.0
waved           	100.0
wave            	100.0
watson          	100.0
watonwan        	100.0
watery          	100.0
waterville      	100.0
waters          	100.0
waterfall       	100.0
watchman        	100.0
watching        	100.0
watchfulness    	100.0
watcher         	100.0
wasted          	100.0
waste           	100.0
washington      	100.0
washing         	100.0
washed          	100.0
wars            	100.0
warriors        	100.0
warrior         	100.0
warranted       	100.0
warrant         	100.0
warning         	100.0
warner          	100.0
warn            	100.0
warmth          	100.0
warmly          	100.0
warmest         	100.0
warmed          	100.0
warm            	100.0
warlike         	100.0
warfare         	100.0
warehouses      	100.0
wards           	100.0
warders         	100.0
warblers        	100.0
wantonly        	100.0
wanton          	100.0
wanting         	100.0
wanders         	100.0
wanderings      	100.0
wandering       	100.0
wanderers       	100.0
wanderer        	100.0
wander          	100.0
walter          	100.0
walt            	100.0
walnuts         	100.0
walnut          	100.0
walls           	100.0
wallets         	100.0
wall            	100.0
walks           	100.0
walketh         	100.0
walked          	100.0
walk            	100.0
waking          	100.0
wakes           	100.0
wakening        	100.0
wakened         	100.0
wake            	100.0
waitresses      	100.0
waiters         	100.0
waiter          	100.0
waited          	100.0
wailing         	100.0
wailed          	100.0
wagging         	100.0
wager           	100.0
waged           	100.0
wafted          	100.0
wadsworth       	100.0
waded           	100.0
waddled         	100.0
vulgar          	100.0
vronsky         	100.0
voyaging        	100.0
voyages         	100.0
voyage          	100.0
vows            	100.0
vouched         	100.0
vouch           	100.0
voting          	100.0
votes           	100.0
voters          	100.0
voted           	100.0
vote            	100.0
von             	100.0
vomiting        	100.0
volunteers      	100.0
voluntarily     	100.0
volume          	100.0
volubility      	100.0
voltaires       	100.0
volitions       	100.0
volcanoes       	100.0
volcano         	100.0
volcanic        	100.0
voices          	100.0
voiceless       	100.0
voiced          	100.0
vogue           	100.0
vocation        	100.0
vocal           	100.0
vladimir        	100.0
vividly         	100.0
vivid           	100.0
vivacity        	100.0
vitality        	100.0
vital           	100.0
vista           	100.0
visits          	100.0
visitors        	100.0
visitor         	100.0
visiting        	100.0
visited         	100.0
visit           	100.0
visions         	100.0
vision          	100.0
virtuous        	100.0
virtues         	100.0
virtue          	100.0
virtually       	100.0
virginity       	100.0
virginias       	100.0
virgilius       	100.0
viper           	100.0
violins         	100.0
violinists      	100.0
violet          	100.0
violently       	100.0
violent         	100.0
violator        	100.0
violated        	100.0
vinos           	100.0
vines           	100.0
vinegar         	100.0
vine            	100.0
vindictiveness  	100.0
vindictive      	100.0
vindication     	100.0
vindicated      	100.0
vindicate       	100.0
villages        	100.0
villagers       	100.0
village         	100.0
villa           	100.0
vile            	100.0
viking          	100.0
vigorously      	100.0
vigorous        	100.0
vigilant        	100.0
vigilance       	100.0
views           	100.0
viewed          	100.0
view            	100.0
victory         	100.0
victorious      	100.0
victories       	100.0
victorian       	100.0
victoria        	100.0
victims         	100.0
victimize       	100.0
victim          	100.0
vicissitudes    	100.0
vicious         	100.0
vicinity        	100.0
vices           	100.0
viceroy         	100.0
vice            	100.0
vicarage        	100.0
vibrant         	100.0
vial            	100.0
viaduct         	100.0
vexed           	100.0
vexation        	100.0
vesture         	100.0
vestry          	100.0
vestments       	100.0
vestige         	100.0
vestibule       	100.0
vessels         	100.0
very            	100.0
vertebral       	100.0
verses          	100.0
versed          	100.0
vernon          	100.0
vermin          	100.0
veritable       	100.0
verily          	100.0
verify          	100.0
verge           	100.0
verdict         	100.0
verbs           	100.0
veracity        	100.0
venus           	100.0
ventriloquist   	100.0
venomous        	100.0
venial          	100.0
vengeance       	100.0
veneration      	100.0
venerable       	100.0
veins           	100.0
veil            	100.0
vehicles        	100.0
vehicle         	100.0
vehemently      	100.0
vegetation      	100.0
vegetated       	100.0
vegetables      	100.0
vegetable       	100.0
veered          	100.0
vaunting        	100.0
vaulted         	100.0
vault           	100.0
vaudeville      	100.0
vatican         	100.0
vastness        	100.0
vastly          	100.0
vast            	100.0
vassals         	100.0
vassal          	100.0
varying         	100.0
varlet          	100.0
variously       	100.0
various         	100.0
variety         	100.0
varieties       	100.0
varies          	100.0
variations      	100.0
variance        	100.0
vapor           	100.0
vantages        	100.0
vanquished      	100.0
vanity          	100.0
vanities        	100.0
vanishes        	100.0
vanished        	100.0
vanish          	100.0
vanderpools     	100.0
vandal          	100.0
vampa           	100.0
values          	100.0
valued          	100.0
valuables       	100.0
valuable        	100.0
valor           	100.0
valleys         	100.0
valley          	100.0
valet           	100.0
valentine       	100.0
vainly          	100.0
vaguely         	100.0
vagaries        	100.0
vacation        	100.0
vacantly        	100.0
vacant          	100.0
uttermost       	100.0
utterly         	100.0
uttering        	100.0
uttered         	100.0
utterances      	100.0
utterance       	100.0
utmost          	100.0
utilize         	100.0
utility         	100.0
usurping        	100.0
usually         	100.0
usual           	100.0
using           	100.0
ushered         	100.0
uses            	100.0
useless         	100.0
usefulness      	100.0
useful          	100.0
usable          	100.0
urging          	100.0
urgent          	100.0
urgency         	100.0
urge            	100.0
urania          	100.0
upwards         	100.0
upward          	100.0
uptown          	100.0
upside          	100.0
upset           	100.0
uproar          	100.0
upright         	100.0
upraised        	100.0
uppermost       	100.0
upper           	100.0
uplifted        	100.0
unworthy        	100.0
unworldly       	100.0
unwilling       	100.0
unwept          	100.0
unwearied       	100.0
unvarying       	100.0
unvarnished     	100.0
unusually       	100.0
unusual         	100.0
untrustworthy   	100.0
untried         	100.0
untreated       	100.0
untoward        	100.0
untouched       	100.0
unto            	100.0
until           	100.0
untidiness      	100.0
untasted        	100.0
unsuspecting    	100.0
unsuspected     	100.0
unsupported     	100.0
unsupportable   	100.0
unsuccessful    	100.0
unstowing       	100.0
unsteadiness    	100.0
unspoken        	100.0
unspeakably     	100.0
unsound         	100.0
unsought        	100.0
unsolved        	100.0
unsoldierly     	100.0
unskilled       	100.0
unshapely       	100.0
unsettled       	100.0
unselfishness   	100.0
unselfish       	100.0
unseen          	100.0
unseemly        	100.0
unseasonable    	100.0
unsatisfied     	100.0
unsatisfactory  	100.0
unrewarded      	100.0
unreservedly    	100.0
unremittingly   	100.0
unreasonably    	100.0
unreasonable    	100.0
unreal          	100.0
unquestionably  	100.0
unpressed       	100.0
unprecedented   	100.0
unpopular       	100.0
unpleasing      	100.0
unpleasant      	100.0
unpitied        	100.0
unperceived     	100.0
unpaved         	100.0
unpardonably    	100.0
unparalleled    	100.0
unofficial      	100.0
unoccupied      	100.0
unobserved      	100.0
unnecessary     	100.0
unnecessarily   	100.0
unmoved         	100.0
unmistakably    	100.0
unmindful       	100.0
unmeaning       	100.0
unlucky         	100.0
unluckily       	100.0
unlooked        	100.0
unlocks         	100.0
unlocked        	100.0
unlock          	100.0
unloaded        	100.0
unlikely        	100.0
unlike          	100.0
unlighted       	100.0
unknown         	100.0
unkind          	100.0
unjustly        	100.0
unjust          	100.0
unjointed       	100.0
university      	100.0
universally     	100.0
universal       	100.0
unity           	100.0
unites          	100.0
united          	100.0
unite           	100.0
unison          	100.0
unique          	100.0
unionists       	100.0
union           	100.0
uninvited       	100.0
unintentional   	100.0
unintelligible  	100.0
uninjured       	100.0
uninhabited     	100.0
uninhabitable   	100.0
unimportant     	100.0
uniforms        	100.0
uniformly       	100.0
uniformed       	100.0
uniform         	100.0
unicorn         	100.0
unhinged        	100.0
unhesitatingly  	100.0
unheeded        	100.0
unheard         	100.0
unhappy         	100.0
unhappiness     	100.0
unhappily       	100.0
ungrateful      	100.0
ungraciously    	100.0
ungracious      	100.0
ungainly        	100.0
unfounded       	100.0
unfortunately   	100.0
unfortunate     	100.0
unforgettable   	100.0
unfold          	100.0
unflattering    	100.0
unfit           	100.0
unfinished      	100.0
unfeeling       	100.0
unfastening     	100.0
unfamiliar      	100.0
unfairly        	100.0
unfair          	100.0
unfailing       	100.0
unexplained     	100.0
unexperienced   	100.0
unexpectedly    	100.0
unexpected      	100.0
unexceptionably 	100.0
unevenly        	100.0
unerring        	100.0
unequal         	100.0
uneasy          	100.0
uneasiness      	100.0
uneasily        	100.0
unearthly       	100.0
undue           	100.0
undressing      	100.0
undoubtedly     	100.0
undone          	100.0
undoing         	100.0
undo            	100.0
undivided       	100.0
undisturbed     	100.0
undisciplined   	100.0
undesired       	100.0
underworld      	100.0
undertook       	100.0
undertone       	100.0
undertaking     	100.0
undertakers     	100.0
undertake       	100.0
understood      	100.0
understands     	100.0
understanding   	100.0
understand      	100.0
underscore      	100.0
underneath      	100.0
undermine       	100.0
underhanded     	100.0
underground     	100.0
undergone       	100.0
undergo         	100.0
undecided       	100.0
undeceived      	100.0
undaunted       	100.0
uncovered       	100.0
uncouth         	100.0
uncourteous     	100.0
uncontrollable  	100.0
unconstitutionality 	100.0
unconsidered    	100.0
unconsciously   	100.0
unconscious     	100.0
unconnected     	100.0
unconcern       	100.0
uncompromising  	100.0
uncomprehending 	100.0
uncomplainingly 	100.0
uncommunicative 	100.0
uncommonly      	100.0
uncommon        	100.0
uncomfortably   	100.0
uncomfortable   	100.0
uncloud         	100.0
unclosed        	100.0
uncles          	100.0
unclenched      	100.0
uncle           	100.0
unclasped       	100.0
uncivil         	100.0
unchecked       	100.0
uncharitableness 	100.0
unchanged       	100.0
uncertainty     	100.0
uncertainly     	100.0
uncertain       	100.0
unceasingly     	100.0
uncasing        	100.0
uncanny         	100.0
unbuttoning     	100.0
unburied        	100.0
unburden        	100.0
unbroken        	100.0
unbridled       	100.0
unborn          	100.0
unbelievable    	100.0
unbelief        	100.0
unbearable      	100.0
unbarring       	100.0
unaware         	100.0
unavoidable     	100.0
unaverred       	100.0
unassisted      	100.0
unanimously     	100.0
unanimous       	100.0
unamiable       	100.0
unalterable     	100.0
unaffected      	100.0
unaccountable   	100.0
unaccomplished  	100.0
unable          	100.0
umbrella        	100.0
ultimately      	100.0
ultimate        	100.0
ugly            	100.0
uglier          	100.0
tyranny         	100.0
tyrannical      	100.0
typical         	100.0
types           	100.0
type            	100.0
twittering      	100.0
twitched        	100.0
twistin         	100.0
twister         	100.0
twisted         	100.0
twist           	100.0
twins           	100.0
twinkling       	100.0
twinkled        	100.0
twined          	100.0
twilight        	100.0
twigs           	100.0
twice           	100.0
twenty          	100.0
twentieth       	100.0
twelvemonth     	100.0
twelve          	100.0
twas            	100.0
tutor           	100.0
turtle          	100.0
turns           	100.0
turnpike        	100.0
turning         	100.0
turners         	100.0
turner          	100.0
turmoil         	100.0
turkish         	100.0
turk            	100.0
turf            	100.0
turbulent       	100.0
tuning          	100.0
tunes           	100.0
tune            	100.0
tumultuous      	100.0
tumbling        	100.0
tumbles         	100.0
tumblers        	100.0
tumbler         	100.0
tumble          	100.0
tuition         	100.0
tug             	100.0
tufts           	100.0
tuft            	100.0
tuesday         	100.0
tucked          	100.0
truth           	100.0
trusty          	100.0
trustworthy     	100.0
trusts          	100.0
trustee         	100.0
trusted         	100.0
trunks          	100.0
trunk           	100.0
trumpets        	100.0
truckling       	100.0
truck           	100.0
trouts          	100.0
trout           	100.0
trousers        	100.0
troublesome     	100.0
troubles        	100.0
trotting        	100.0
trotted         	100.0
trots           	100.0
troth           	100.0
tropical        	100.0
trophies        	100.0
troops          	100.0
troopers        	100.0
troop           	100.0
trivialities    	100.0
triumphing      	100.0
triumphed       	100.0
triumphantly    	100.0
triumphant      	100.0
triumph         	100.0
triple          	100.0
trip            	100.0
trim            	100.0
trilogies       	100.0
triggered       	100.0
trigger         	100.0
tries           	100.0
tricks          	100.0
trickling       	100.0
trick           	100.0
trice           	100.0
tribute         	100.0
tribes          	100.0
triangle        	100.0
trials          	100.0
trial           	100.0
tremulous       	100.0
tremendously    	100.0
tremblingly     	100.0
treaty          	100.0
treats          	100.0
treatment       	100.0
treating        	100.0
treated         	100.0
treat           	100.0
treasures       	100.0
treasured       	100.0
treasure        	100.0
treasons        	100.0
tread           	100.0
treacherously   	100.0
tray            	100.0
traversed       	100.0
travels         	100.0
travel          	100.0
trash           	100.0
trapped         	100.0
trap            	100.0
transubstantiation 	100.0
transship       	100.0
transported     	100.0
transparent     	100.0
transmutation   	100.0
translator      	100.0
translation     	100.0
translating     	100.0
translated      	100.0
translate       	100.0
transitoriness  	100.0
transition      	100.0
transgressor    	100.0
transforming    	100.0
transfixed      	100.0
transfigured    	100.0
transferred     	100.0
transference    	100.0
transfer        	100.0
transcript      	100.0
transcend       	100.0
transactions    	100.0
tranquillity    	100.0
tranquillities  	100.0
trance          	100.0
trampling       	100.0
trampled        	100.0
trample         	100.0
tramp           	100.0
traits          	100.0
trains          	100.0
training        	100.0
trainer         	100.0
trailing        	100.0
trail           	100.0
tragic          	100.0
tragedies       	100.0
traffic         	100.0
traditions      	100.0
traditional     	100.0
tradition       	100.0
trading         	100.0
trades          	100.0
trade           	100.0
track           	100.0
tracing         	100.0
traces          	100.0
traced          	100.0
traceable       	100.0
trace           	100.0
toys            	100.0
toy             	100.0
towns           	100.0
towers          	100.0
towering        	100.0
towered         	100.0
tower           	100.0
tournaments     	100.0
tough           	100.0
touchingly      	100.0
touching        	100.0
touches         	100.0
toting          	100.0
tother          	100.0
totally         	100.0
total           	100.0
tossing         	100.0
toss            	100.0
torturing       	100.0
tortures        	100.0
tortured        	100.0
torrents        	100.0
torrent         	100.0
torpid          	100.0
tormentor       	100.0
tormenting      	100.0
tormented       	100.0
torment         	100.0
tore            	100.0
torchlight      	100.0
torch           	100.0
topsails        	100.0
tops            	100.0
topmost         	100.0
topics          	100.0
topic           	100.0
top             	100.0
toothed         	100.0
tony            	100.0
tons            	100.0
tonic           	100.0
tongues         	100.0
toned           	100.0
toms            	100.0
tommy           	100.0
tombs           	100.0
tomatoes        	100.0
tomato          	100.0
toleration      	100.0
tolerably       	100.0
tolerable       	100.0
token           	100.0
toils           	100.0
toiling         	100.0
toilet          	100.0
toil            	100.0
toes            	100.0
toe             	100.0
toddle          	100.0
tobacco         	100.0
toasted         	100.0
titter          	100.0
title           	100.0
tiresome        	100.0
tireless        	100.0
tired           	100.0
tire            	100.0
tips            	100.0
tippling        	100.0
tipped          	100.0
tip             	100.0
tiny            	100.0
tints           	100.0
tint            	100.0
tinsel          	100.0
tinkled         	100.0
tinkle          	100.0
tiniest         	100.0
tingle          	100.0
tinged          	100.0
tinge           	100.0
tin             	100.0
timidly         	100.0
timid           	100.0
timber          	100.0
tilted          	100.0
tillers         	100.0
tiled           	100.0
tightly         	100.0
tighter         	100.0
tightening      	100.0
tiger           	100.0
tiding          	100.0
tides           	100.0
ticks           	100.0
ticklish        	100.0
ticket          	100.0
thyself         	100.0
thyme           	100.0
thwarted        	100.0
thursday        	100.0
thunder         	100.0
thumb           	100.0
thrusting       	100.0
thrushes        	100.0
thrown          	100.0
throwing        	100.0
throw           	100.0
throughout      	100.0
throngs         	100.0
throbs          	100.0
throbbings      	100.0
throbbed        	100.0
throb           	100.0
throat          	100.0
thriving        	100.0
thrilling       	100.0
thrill          	100.0
thriftily       	100.0
thrice          	100.0
threshold       	100.0
threes          	100.0
threats         	100.0
threatens       	100.0
threatening     	100.0
threatened      	100.0
threads         	100.0
threadbare      	100.0
thread          	100.0
thrall          	100.0
thousands       	100.0
thousand        	100.0
thoughts        	100.0
thoughtless     	100.0
thoughtfully    	100.0
thoughtful      	100.0
thoughted       	100.0
thoroughly      	100.0
thorough        	100.0
thornton        	100.0
thorns          	100.0
thorn           	100.0
thor            	100.0
thong           	100.0
thompson        	100.0
thomas          	100.0
thither         	100.0
thirty          	100.0
thirtieth       	100.0
thirteen        	100.0
thirsty         	100.0
thirsting       	100.0
thirds          	100.0
thirdly         	100.0
third           	100.0
thinned         	100.0
thinkest        	100.0
thieves         	100.0
thief           	100.0
thickness       	100.0
thickest        	100.0
thicker         	100.0
thickening      	100.0
thermometer     	100.0
therewith       	100.0
thereon         	100.0
thereof         	100.0
therefrom       	100.0
therefore       	100.0
thereby         	100.0
thereafter      	100.0
thereabouts     	100.0
theosophies     	100.0
theories        	100.0
theoretical     	100.0
theological     	100.0
theologians     	100.0
thenceforth     	100.0
thence          	100.0
themselves      	100.0
themes          	100.0
theatrical      	100.0
theatres        	100.0
thanking        	100.0
thankfulness    	100.0
thankful        	100.0
thanked         	100.0
texture         	100.0
text            	100.0
texas           	100.0
testing         	100.0
testimony       	100.0
testimonies     	100.0
testify         	100.0
tested          	100.0
terror          	100.0
terro           	100.0
territory       	100.0
territorial     	100.0
terrifying      	100.0
terrified       	100.0
terrific        	100.0
terribly        	100.0
terran          	100.0
terms           	100.0
terminating     	100.0
terminates      	100.0
termed          	100.0
term            	100.0
tenuous         	100.0
tents           	100.0
tenth           	100.0
tent            	100.0
tennessee       	100.0
tends           	100.0
tending         	100.0
tenderness      	100.0
tenderly        	100.0
tendered        	100.0
tender          	100.0
tendency        	100.0
tended          	100.0
tenants         	100.0
tenanted        	100.0
temptress       	100.0
tempting        	100.0
tempted         	100.0
temptation      	100.0
tempt           	100.0
temporary       	100.0
temporal        	100.0
tempo           	100.0
temples         	100.0
temple          	100.0
tempest         	100.0
tempered        	100.0
temperature     	100.0
temperate       	100.0
temperament     	100.0
temper          	100.0
tells           	100.0
telling         	100.0
television      	100.0
telescope       	100.0
telephoned      	100.0
telephone       	100.0
teeth           	100.0
teens           	100.0
tedious         	100.0
technology      	100.0
technique       	100.0
technical       	100.0
teaspoonful     	100.0
teaspoon        	100.0
tease           	100.0
tearing         	100.0
team            	100.0
teaching        	100.0
teaches         	100.0
teachers        	100.0
teacher         	100.0
teach           	100.0
taylor          	100.0
taxes           	100.0
taxed           	100.0
tawny           	100.0
tavern          	100.0
taught          	100.0
tattlers        	100.0
tatters         	100.0
tastefully      	100.0
tasted          	100.0
tasks           	100.0
task            	100.0
tarts           	100.0
tarry           	100.0
tarnish         	100.0
taras           	100.0
tar             	100.0
tapped          	100.0
tapestry        	100.0
tapestries      	100.0
tape            	100.0
tap             	100.0
tanner          	100.0
tankards        	100.0
tangled         	100.0
tangle          	100.0
tang            	100.0
tan             	100.0
tampering       	100.0
tampered        	100.0
tames           	100.0
talons          	100.0
tally           	100.0
tallow          	100.0
talks           	100.0
talking         	100.0
talkers         	100.0
talker          	100.0
talisman        	100.0
tales           	100.0
takes           	100.0
taker           	100.0
tainting        	100.0
tails           	100.0
tailors         	100.0
tailor          	100.0
tags            	100.0
tagging         	100.0
tag             	100.0
tads            	100.0
tactics         	100.0
tactful         	100.0
tact            	100.0
tacks           	100.0
tack            	100.0
tablets         	100.0
tablespoonfuls  	100.0
tables          	100.0
tablecloths     	100.0
tabby           	100.0
systems         	100.0
system          	100.0
syria           	100.0
synagogues      	100.0
symptoms        	100.0
symptom         	100.0
symposium       	100.0
sympathy        	100.0
sympathized     	100.0
sympathize      	100.0
sympathies      	100.0
sympathetic     	100.0
symbols         	100.0
symbolic        	100.0
sylvania        	100.0
syllogism       	100.0
syllable        	100.0
sydneys         	100.0
sycamores       	100.0
sworn           	100.0
swore           	100.0
swords          	100.0
swoops          	100.0
swooped         	100.0
swoons          	100.0
swollen         	100.0
switched        	100.0
swiss           	100.0
swirl           	100.0
swinging        	100.0
swinged         	100.0
swing           	100.0
swindling       	100.0
swims           	100.0
swimming        	100.0
swiftness       	100.0
swiftly         	100.0
swifter         	100.0
swift           	100.0
swept           	100.0
swelling        	100.0
swelled         	100.0
swell           	100.0
sweets          	100.0
sweetmeats      	100.0
sweetheart      	100.0
sweetest        	100.0
sweetbreads     	100.0
sweeping        	100.0
sweep           	100.0
swedish         	100.0
sweating        	100.0
sweated         	100.0
sweat           	100.0
swearin         	100.0
swaying         	100.0
swayed          	100.0
swarms          	100.0
swarming        	100.0
swarmed         	100.0
swamp           	100.0
swam            	100.0
swallowing      	100.0
swallowers      	100.0
swallowed       	100.0
swallow         	100.0
sustenance      	100.0
sustained       	100.0
suspiciously    	100.0
suspicions      	100.0
suspicion       	100.0
suspense        	100.0
suspenders      	100.0
suspended       	100.0
suspected       	100.0
suspect         	100.0
susans          	100.0
susan           	100.0
survives        	100.0
survived        	100.0
survive         	100.0
survival        	100.0
surveys         	100.0
surveyor        	100.0
surveyed        	100.0
survey          	100.0
surrounds       	100.0
surroundings    	100.0
surrounding     	100.0
surrounded      	100.0
surrendering    	100.0
surrendered     	100.0
surrender       	100.0
surprising      	100.0
surpassed       	100.0
surpass         	100.0
surmised        	100.0
surgery         	100.0
surgeon         	100.0
surface         	100.0
surest          	100.0
supremely       	100.0
supreme         	100.0
suppressing     	100.0
suppressed      	100.0
suppress        	100.0
supposition     	100.0
supposing       	100.0
supposes        	100.0
supports        	100.0
supporting      	100.0
supported       	100.0
support         	100.0
supplying       	100.0
supply          	100.0
supplies        	100.0
supplied        	100.0
supplication    	100.0
suppers         	100.0
supper          	100.0
superstitious   	100.0
superstition    	100.0
superseded      	100.0
superposition   	100.0
supernatural    	100.0
superlative     	100.0
superiors       	100.0
superiority     	100.0
superior        	100.0
superintendent  	100.0
superintendence 	100.0
superfluous     	100.0
superfluities   	100.0
superficial     	100.0
sunshiny        	100.0
sunshine        	100.0
sunsets         	100.0
sunset          	100.0
sunny           	100.0
sunlight        	100.0
sunk            	100.0
sunflower       	100.0
sundry          	100.0
sunday          	100.0
sunburnt        	100.0
sunbeams        	100.0
sumter          	100.0
sums            	100.0
sumner          	100.0
summons         	100.0
summoning       	100.0
summoned        	100.0
summon          	100.0
summer          	100.0
summary         	100.0
sultry          	100.0
sultan          	100.0
sullied         	100.0
sullenly        	100.0
sulkily         	100.0
suits           	100.0
suited          	100.0
suitably        	100.0
suitable        	100.0
suggestions     	100.0
suggestion      	100.0
suggested       	100.0
suggest         	100.0
sugar           	100.0
sufficiently    	100.0
sufficient      	100.0
suffices        	100.0
sufficed        	100.0
suffice         	100.0
sufferings      	100.0
suffering       	100.0
sufferer        	100.0
sue             	100.0
suddenness      	100.0
sudden          	100.0
sucked          	100.0
such            	100.0
succumbed       	100.0
successor       	100.0
successively    	100.0
successive      	100.0
succession      	100.0
successfully    	100.0
successful      	100.0
success         	100.0
succeeding      	100.0
succeeded       	100.0
succeed         	100.0
suburbs         	100.0
suburb          	100.0
subtlety        	100.0
subtleties      	100.0
subtle          	100.0
substitution    	100.0
substituting    	100.0
substituted     	100.0
substantially   	100.0
substantial     	100.0
substances      	100.0
substance       	100.0
subsistence     	100.0
subsided        	100.0
subsequently    	100.0
subsequent      	100.0
subscribe       	100.0
subordination   	100.0
subordinated    	100.0
subordinate     	100.0
submit          	100.0
submissively    	100.0
submissive      	100.0
submission      	100.0
submarine       	100.0
sublime         	100.0
subjugation     	100.0
subjects        	100.0
subjectively    	100.0
subjection      	100.0
subjected       	100.0
subject         	100.0
subdued         	100.0
subdue          	100.0
sub             	100.0
styles          	100.0
styled          	100.0
style           	100.0
stupidity       	100.0
stupid          	100.0
stupefied       	100.0
stupefaction    	100.0
stunted         	100.0
stumped         	100.0
stump           	100.0
stumbled        	100.0
stuffing        	100.0
stuffed         	100.0
studying        	100.0
studious        	100.0
studies         	100.0
studied         	100.0
students        	100.0
student         	100.0
